img_path_a,scene_a,scene_id_a,x1_a,x2_a,x3_a,q1_a,q2_a,q3_a,q4_a,img_path_b,scene_b,scene_id_b,x1_b,x2_b,x3_b,q1_b,q2_b,q3_b,q4_b,x1_ab,x2_ab,x3_ab,q1_ab,q2_ab,q3_ab,q4_ab,cluster_q,cluster_x
fire/seq-01/frame-000710.color.png,fire,1,1.2033103,-0.4320802,0.6856551,0.8798419,-0.2323826,-0.3805993,-0.1643795,fire/seq-01/frame-000175.color.png,fire,1,-0.9637397,-0.601426,0.5427731,0.9850533,-0.1679274,-0.0165773,0.0345764,-2.16705,-0.169346,-0.142882,0.906345,0.097043,0.324678,0.252399,17,24
fire/seq-01/frame-000118.color.png,fire,1,-0.9304832,-0.6802827,0.8329738,0.8924298,-0.1386691,0.3879502,0.183942,fire/seq-01/frame-000070.color.png,fire,1,-0.7250019,-0.4055897,0.472485,0.9607991,-0.2257213,0.1293224,0.0958684,0.205481,0.274693,-0.360489,0.956552,-0.081611,-0.229103,-0.160808,13,6
fire/seq-02/frame-000581.color.png,fire,1,-0.0664179,-0.4637697,1.0603689,0.9788616,-0.1933915,-0.0137139,0.0651282,fire/seq-02/frame-000939.color.png,fire,1,0.7659718,-0.4618449,0.6166632,0.8963438,-0.1862352,-0.3824861,-0.1248542,0.83239,0.001925,-0.443706,0.910531,-0.035574,-0.325827,-0.252002,17,12
fire/seq-02/frame-000729.color.png,fire,1,-0.6591287,-0.2873279,0.8034818,0.9050337,-0.0799823,0.3619269,0.2086281,fire/seq-01/frame-000202.color.png,fire,1,-0.961722,-0.5068042,0.4032468,0.9747675,-0.2155497,-0.0568265,0.0117179,-0.302593,-0.219476,-0.400235,0.88132,-0.13321,-0.360186,-0.27531,18,7
fire/seq-01/frame-000095.color.png,fire,1,-0.8095113,-0.5114237,0.7040154,0.9178126,-0.2029152,0.2984756,0.165402,fire/seq-02/frame-000828.color.png,fire,1,-0.5673474,-0.2716872,0.4396913,0.979799,-0.1478974,0.0983189,0.0919442,0.242164,0.239737,-0.264324,0.973836,0.051892,-0.196401,-0.101867,10,5
fire/seq-01/frame-000356.color.png,fire,1,0.5810164,-0.5477281,0.7149069,0.9046592,-0.2474387,-0.3317294,-0.1015944,fire/seq-01/frame-000220.color.png,fire,1,-0.7811101,-0.4818315,0.3263349,0.9621911,-0.269984,-0.0359739,0.0017028,-1.362126,0.065897,-0.388572,0.949022,-0.001941,0.258789,0.17995,13,18
fire/seq-01/frame-000190.color.png,fire,1,-0.979691,-0.5469321,0.4634517,0.9823644,-0.1764858,-0.0600677,0.014308,fire/seq-02/frame-000178.color.png,fire,1,-0.2235846,-0.0924018,0.4119557,0.9764223,-0.1155163,0.1553109,0.0955717,0.756106,0.45453,-0.051496,0.971628,0.066807,0.196008,0.114263,10,11
fire/seq-01/frame-000275.color.png,fire,1,-0.2052999,-0.5262898,0.4554251,0.9461706,-0.323177,0.0030018,0.0175731,fire/seq-02/frame-000301.color.png,fire,1,-0.9086061,0.0119671,0.8673964,0.9637376,-0.0634145,0.2170859,0.1416408,-0.703306,0.538257,0.411971,0.935498,0.254841,0.157846,0.187042,15,12
fire/seq-02/frame-000527.color.png,fire,1,0.0613779,-0.5955532,0.8621435,0.9827218,-0.1788494,-0.0470757,-0.0073895,fire/seq-02/frame-000309.color.png,fire,1,-0.8923532,0.013445,0.8274098,0.975986,-0.0640243,0.1632146,0.1292795,-0.953731,0.608998,-0.034733,0.961936,0.116515,0.182743,0.16646,12,14
fire/seq-01/frame-000405.color.png,fire,1,1.2054145,-0.5809278,0.66313,0.8244056,-0.2015707,-0.4942925,-0.1881477,fire/seq-01/frame-000329.color.png,fire,1,0.3511194,-0.5149773,0.6059374,0.9497597,-0.271615,-0.1550058,0.0124525,-0.854296,0.065951,-0.057193,0.912016,0.00284,0.288053,0.291967,17,11
fire/seq-02/frame-000136.color.png,fire,1,0.2166689,-0.0001351,0.4633467,0.9887597,-0.1433332,-0.0422613,-0.0048747,fire/seq-02/frame-000202.color.png,fire,1,-0.4835124,-0.0740107,0.4513596,0.9454127,-0.0765165,0.2786495,0.1506471,-0.700181,-0.073876,-0.011987,0.933244,0.06486,0.293504,0.196733,15,9
fire/seq-02/frame-000727.color.png,fire,1,-0.6500602,-0.2912068,0.8104668,0.9040357,-0.0804911,0.3639222,0.2092874,fire/seq-01/frame-000190.color.png,fire,1,-0.979691,-0.5469321,0.4634517,0.9823644,-0.1764858,-0.0600677,0.014308,-0.329631,-0.255725,-0.347015,0.883437,-0.098254,-0.376017,-0.261716,18,7
fire/seq-01/frame-000528.color.png,fire,1,0.6349356,-0.7579974,1.3274266,0.8139839,-0.2914155,-0.4692682,-0.1797067,fire/seq-02/frame-000901.color.png,fire,1,0.4055739,-0.4977122,0.5181946,0.9554536,-0.2100658,-0.1828117,-0.0977786,-0.229362,0.260285,-0.809232,0.942302,0.094411,0.290296,0.13741,14,11
fire/seq-02/frame-000412.color.png,fire,1,-0.3207328,-0.2746507,0.3358095,0.9589936,-0.1977332,-0.2029639,0.0061991,fire/seq-02/frame-000823.color.png,fire,1,-0.6388913,-0.2573855,0.455183,0.9750215,-0.1498237,0.1213604,0.1102611,-0.318158,0.017265,0.119373,0.940719,0.072244,0.2934,0.154097,14,4
fire/seq-02/frame-000897.color.png,fire,1,0.3793319,-0.4857322,0.4971126,0.9569301,-0.208582,-0.1812771,-0.0889768,fire/seq-01/frame-000451.color.png,fire,1,1.6803468,-0.7028162,0.9469594,0.8200432,-0.192609,-0.5057149,-0.1862348,1.301015,-0.217084,0.449846,0.933147,-0.002031,-0.313566,-0.175811,15,18
fire/seq-01/frame-000070.color.png,fire,1,-0.7250019,-0.4055897,0.472485,0.9607991,-0.2257213,0.1293224,0.0958684,fire/seq-02/frame-000353.color.png,fire,1,-0.7995278,0.0739524,0.5049866,0.9961775,-0.0313718,-0.0475814,0.0661989,-0.074526,0.479542,0.032502,0.964402,0.18159,-0.186477,-0.046696,12,6
fire/seq-02/frame-000410.color.png,fire,1,-0.3368199,-0.2508978,0.3357872,0.9595011,-0.1925947,-0.2052008,0.0125529,fire/seq-02/frame-000110.color.png,fire,1,0.2111802,0.0699357,0.441614,0.9895821,-0.1174294,-0.0760679,0.0339304,0.548,0.320834,0.105827,0.988157,0.083921,0.125013,0.029581,6,8
fire/seq-01/frame-000743.color.png,fire,1,0.9420122,-0.2862624,0.8052205,0.825706,-0.229679,-0.4507438,-0.2495741,fire/seq-02/frame-000891.color.png,fire,1,0.330508,-0.4663964,0.4659013,0.960375,-0.2043651,-0.1739341,-0.0752448,-0.611504,-0.180134,-0.339319,0.937109,0.061325,0.255534,0.229714,15,9
fire/seq-01/frame-000526.color.png,fire,1,0.6505331,-0.7615378,1.3435932,0.8110283,-0.2831671,-0.4780257,-0.1831416,fire/seq-01/frame-000642.color.png,fire,1,0.7646149,-0.6284241,0.672031,0.9177607,-0.1793271,-0.3415717,-0.0942646,0.114082,0.133114,-0.671562,0.975655,0.131931,0.155536,0.080629,9,9
fire/seq-02/frame-000849.color.png,fire,1,-0.2168707,-0.3302275,0.4214018,0.9842404,-0.1658932,0.0064422,0.0608994,fire/seq-02/frame-000941.color.png,fire,1,0.7878702,-0.4557378,0.6114879,0.8965979,-0.179056,-0.3877543,-0.1170374,1.004741,-0.125511,0.190086,0.902551,-0.050352,-0.357092,-0.235268,17,13
fire/seq-01/frame-000686.color.png,fire,1,1.0863142,-0.510605,0.460694,0.9179062,-0.2289697,-0.2970325,-0.1295871,fire/seq-02/frame-000132.color.png,fire,1,0.2358833,0.0145099,0.4665521,0.9885124,-0.1390751,-0.05902,-0.0042494,-0.850431,0.525115,0.005858,0.957289,0.105065,0.22239,0.15199,12,13
fire/seq-01/frame-000515.color.png,fire,1,0.7493535,-0.8006374,1.4120666,0.7791767,-0.2563709,-0.5311553,-0.2122067,fire/seq-01/frame-000635.color.png,fire,1,0.69015,-0.634362,0.7106652,0.9147653,-0.1745534,-0.3520247,-0.0938845,-0.059204,0.166275,-0.701402,0.964419,0.123342,0.198616,0.123431,12,9
fire/seq-02/frame-000619.color.png,fire,1,-0.1741615,-0.3970105,1.0127094,0.974508,-0.199571,0.034353,0.0965686,fire/seq-02/frame-000709.color.png,fire,1,-0.5396592,-0.3504655,0.8988171,0.8889643,-0.1097959,0.3767861,0.2360498,-0.365498,0.046544,-0.113892,0.923957,0.098689,0.300132,0.215604,16,4
fire/seq-01/frame-000912.color.png,fire,1,0.6666562,-0.741306,1.030378,0.7470765,-0.1105105,-0.6285091,-0.1861193,fire/seq-01/frame-000651.color.png,fire,1,0.83606,-0.6172739,0.6227379,0.921274,-0.1908051,-0.3249588,-0.0961742,0.169404,0.124032,-0.40764,0.931494,-0.040698,0.311361,0.18362,15,5
fire/seq-01/frame-000285.color.png,fire,1,-0.11339,-0.5306568,0.4870428,0.950829,-0.3091803,-0.0132155,0.0125332,fire/seq-01/frame-000695.color.png,fire,1,1.1550912,-0.4845158,0.5392649,0.8996517,-0.2301783,-0.3395469,-0.1495079,1.268481,0.046141,0.052222,0.929199,0.053062,-0.261846,-0.255364,15,16
fire/seq-02/frame-000295.color.png,fire,1,-0.9062009,0.0185466,0.8804311,0.9482588,-0.0651941,0.2662232,0.1602504,fire/seq-02/frame-000045.color.png,fire,1,-0.3083441,-0.0418463,0.4304266,0.9880925,-0.092927,0.0095791,0.1222542,0.597857,-0.060393,-0.450004,0.965168,-0.054712,-0.247045,-0.066525,11,9
fire/seq-02/frame-000391.color.png,fire,1,-0.5389274,-0.0425653,0.3391169,0.9793768,-0.1079031,-0.1639317,0.0480044,fire/seq-02/frame-000245.color.png,fire,1,-0.8108331,-0.0247902,0.7581189,0.8629984,-0.0337558,0.4453111,0.2362041,-0.271906,0.017775,0.419002,0.787186,0.120156,0.553728,0.243487,21,6
fire/seq-02/frame-000437.color.png,fire,1,-0.164285,-0.5204993,0.3397823,0.9579078,-0.2612428,-0.1107605,-0.0435549,fire/seq-01/frame-000363.color.png,fire,1,0.6562712,-0.5559655,0.7450837,0.8721992,-0.2360979,-0.4035106,-0.1438945,0.820556,-0.035466,0.405302,0.948127,0.003333,-0.262609,-0.179109,14,11
fire/seq-01/frame-000212.color.png,fire,1,-0.8906988,-0.4865751,0.3626958,0.9682873,-0.2451644,-0.0456324,0.0152262,fire/seq-02/frame-000771.color.png,fire,1,-0.868206,-0.18476,0.7259124,0.9178888,-0.1050145,0.3347248,0.1855031,0.022493,0.301815,0.363216,0.90208,0.136909,0.32211,0.252492,17,6
fire/seq-01/frame-000452.color.png,fire,1,1.6729665,-0.7139837,0.9711458,0.8170504,-0.1889555,-0.5101334,-0.1910193,fire/seq-02/frame-000269.color.png,fire,1,-0.8794483,0.0029979,0.8689639,0.880689,-0.0394499,0.411845,0.2306824,-2.552415,0.716982,-0.102182,0.472877,0.173183,0.734636,0.454648,25,27
fire/seq-02/frame-000752.color.png,fire,1,-0.7862853,-0.2212821,0.7435893,0.9162555,-0.0776651,0.3411514,0.1950888,fire/seq-02/frame-000824.color.png,fire,1,-0.6253768,-0.2580001,0.4517569,0.9762836,-0.1473587,0.1170978,0.1069758,0.160908,-0.036718,-0.291832,0.966789,-0.072843,-0.205325,-0.133618,11,4
fire/seq-01/frame-000833.color.png,fire,1,1.0614494,-0.5390599,1.0314324,0.8039708,-0.2461212,-0.4865383,-0.2373516,fire/seq-02/frame-000995.color.png,fire,1,1.1970179,-0.4129204,0.9120561,0.7721501,-0.0831838,-0.6083969,-0.1634559,0.135569,0.12614,-0.119376,0.976065,0.188039,-0.092969,-0.057408,9,2
fire/seq-01/frame-000529.color.png,fire,1,0.6299337,-0.7539917,1.3184471,0.8166662,-0.2921112,-0.4649894,-0.1775166,fire/seq-01/frame-000298.color.png,fire,1,0.0487585,-0.5352696,0.5231977,0.9533867,-0.2939301,-0.0681247,0.0042368,-0.581176,0.218722,-0.795249,0.895389,0.052513,0.334258,0.289469,17,13
fire/seq-01/frame-000512.color.png,fire,1,0.7798192,-0.809198,1.4181169,0.7727205,-0.2551097,-0.5403588,-0.2140897,fire/seq-01/frame-000880.color.png,fire,1,1.4039752,-0.7551602,1.0917479,0.7745597,-0.0727217,-0.6018903,-0.180269,0.624156,0.054038,-0.326369,0.980903,0.172847,-0.016127,-0.087714,8,9
fire/seq-01/frame-000745.color.png,fire,1,0.9198776,-0.2845524,0.8118163,0.821413,-0.2287603,-0.4566979,-0.2537249,fire/seq-02/frame-000516.color.png,fire,1,0.0954685,-0.6175024,0.7907949,0.9801825,-0.1851415,-0.0606904,-0.0357994,-0.824409,-0.33295,-0.021021,0.884295,0.071198,0.359,0.289952,18,11
fire/seq-01/frame-000039.color.png,fire,1,-0.535075,-0.3263006,0.3048116,0.9760171,-0.2122017,0.032907,0.035751,fire/seq-02/frame-000927.color.png,fire,1,0.6142977,-0.4836176,0.6281512,0.9140896,-0.2239122,-0.3039156,-0.1481177,1.149373,-0.157317,0.323339,0.924388,-0.030559,-0.287266,-0.249099,16,15
fire/seq-01/frame-000403.color.png,fire,1,1.1765906,-0.577318,0.6514838,0.8271818,-0.1982882,-0.4890946,-0.1929727,fire/seq-01/frame-000225.color.png,fire,1,-0.7121669,-0.4835149,0.3077272,0.9583614,-0.2833807,-0.0348346,-0.0050298,-1.888758,0.093803,-0.343757,0.866943,-0.040113,0.386221,0.312463,19,23
fire/seq-02/frame-000400.color.png,fire,1,-0.441541,-0.1289996,0.3373137,0.9682745,-0.1533925,-0.1939474,0.03605,fire/seq-01/frame-000286.color.png,fire,1,-0.1001864,-0.5306268,0.4909519,0.9514013,-0.3072726,-0.0176247,0.0104105,0.341355,-0.401627,0.153638,0.972146,-0.1502,0.176933,0.032671,10,7
fire/seq-02/frame-000737.color.png,fire,1,-0.7130513,-0.2562386,0.7783582,0.9109164,-0.0654686,0.3574609,0.1953635,fire/seq-02/frame-000030.color.png,fire,1,-0.2654345,-0.1433555,0.4083846,0.9867205,-0.1060655,-0.0093567,0.1226593,0.447616,0.112883,-0.369973,0.926386,-0.07769,-0.348539,-0.119559,16,7
fire/seq-01/frame-000547.color.png,fire,1,0.4785489,-0.7085865,1.1673641,0.8471385,-0.2823769,-0.4223188,-0.1557772,fire/seq-01/frame-000898.color.png,fire,1,1.0118309,-0.7709002,1.0353647,0.7463379,-0.0983931,-0.628468,-0.1957716,0.533282,-0.062313,-0.131999,0.955951,0.142615,-0.177242,-0.185483,13,7
fire/seq-02/frame-000148.color.png,fire,1,0.1199409,-0.0541908,0.4570794,0.9887131,-0.14958,0.0034427,0.007775,fire/seq-02/frame-000707.color.png,fire,1,-0.5323715,-0.3526226,0.9051479,0.8891698,-0.1114183,0.3745094,0.2381298,-0.652312,-0.298432,0.448069,0.898945,0.024933,0.332462,0.284157,17,11
fire/seq-02/frame-000894.color.png,fire,1,0.3564985,-0.4756136,0.4795845,0.9590349,-0.2042867,-0.1786236,-0.0813184,fire/seq-02/frame-000654.color.png,fire,1,-0.3579687,-0.3954658,0.9440116,0.9621895,-0.1459635,0.172645,0.1519204,-0.714468,0.080148,0.464428,0.909403,0.069674,0.294533,0.285276,17,11
